Kode_Kabkot,Kode_Kec,Nama_Kec,Jml_pddk_kec
32.01,32.01.01,CIBINONG,366403
32.01,32.01.02,GUNUNG PUTRI,301397
32.01,32.01.03,CITEUREUP,215824
32.01,32.01.04,SUKARAJA,209415
32.01,32.01.05,BABAKAN MADANG,115575
32.01,32.01.06,JONGGOL,145402
32.01,32.01.07,CILEUNGSI,292163
32.01,32.01.08,CARIU,52063
32.01,32.01.09,SUKAMAKMUR,86526
32.01,32.01.10,PARUNG,123872
32.01,32.01.11,GUNUNG SINDUR,129162
32.01,32.01.12,KEMANG,105937
32.01,32.01.13,BOJONG GEDE,292465
32.01,32.01.14,LEUWILIANG,125552
32.01,32.01.15,CIAMPEA,170206
32.01,32.01.16,CIBUNGBULANG,147554
32.01,32.01.17,PAMIJAHAN,159236
32.01,32.01.18,RUMPIN,147432
32.01,32.01.19,JASINGA,107493
32.01,32.01.20,PARUNG PANJANG,118727
32.01,32.01.21,NANGGUNG,99812
32.01,32.01.22,CIGUDEG,135373
32.01,32.01.23,TENJO,73845
32.01,32.01.24,CIAWI,115816
32.01,32.01.25,CISARUA,128310
32.01,32.01.26,MEGAMENDUNG,107945
32.01,32.01.27,CARINGIN,132480
32.01,32.01.28,CIJERUK,92838
32.01,32.01.29,CIOMAS,172336
32.01,32.01.30,DRAMAGA,111112
32.01,32.01.31,TAMANSARI,110481
32.01,32.01.32,KLAPANUNGGAL,131019
32.01,32.01.33,CISEENG,111626
32.01,32.01.34,RANCA BUNGUR,61733
32.01,32.01.35,SUKAJAYA,67988
32.01,32.01.36,TANJUNGSARI,57632
32.01,32.01.37,TAJURHALANG,126099
32.01,32.01.38,CIGOMBONG,98388
32.01,32.01.39,LEUWISADENG,77871
32.01,32.01.40,TENJOLAYA,64428
32.02,32.02.01,PALABUHANRATU,110850
32.02,32.02.02,SIMPENAN,54530
32.02,32.02.03,CIKAKAK,41620
32.02,32.02.04,BANTARGADUNG,37820
32.02,32.02.05,CISOLOK,69360
32.02,32.02.06,CIKIDANG,65840
32.02,32.02.07,LENGKONG,31920
32.02,32.02.08,JAMPANGTENGAH,67680
32.02,32.02.09,WARUNGKIARA,60950
32.02,32.02.10,CIKEMBAR,86440
32.02,32.02.11,CIBADAK,118280
32.02,32.02.12,NAGRAK,86260
32.02,32.02.13,PARUNGKUDA,73720
32.02,32.02.14,BOJONGGENTENG,37700
32.02,32.02.15,PARAKANSALAK,43950
32.02,32.02.16,CICURUG,131360
32.02,32.02.17,CIDAHU,67690
32.02,32.02.18,KALAPANUNGGAL,49700
32.02,32.02.19,KABANDUNGAN,40920
32.02,32.02.20,WALURAN,28860
32.02,32.02.21,JAMPANGKULON,46130
32.02,32.02.22,CIEMAS,51360
32.02,32.02.23,KALIBUNDER,28750
32.02,32.02.24,SURADE,78800
32.02,32.02.25,CIBITUNG,28090
32.02,32.02.26,CIRACAP,53110
